Area_Code2 ,Intl_Plan ,Vmail ,Vmail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Churn 
1,0,0,37,239.8,110,40.77,66.57,12,18.86,18.91,10,8.51,7.3,1,1.97,2,0
2,0,1,0,223.2,109,37.94,38.25,9,10.84,28.93,8,13.02,14.5,4,3.92,3,0
1,0,1,0,217.1,99,36.91,70.8,7,20.06,11.83,12,5.32,9.4,4,2.54,1,0
1,0,1,0,159.7,83,27.15,46.62,12,13.21,25.57,11,11.51,8.4,3,2.27,1,0
0,0,1,0,204.6,98,34.78,63.75,9,18.06,18.21,10,8.19,9.8,7,2.65,2,0
0,0,0,29,163.5,80,27.8,82.44,14,23.36,38.19,15,17.19,7.5,5,2.03,2,0
0,0,1,0,184.5,98,31.37,60.15,9,17.04,27.92,9,12.56,8.8,3,2.38,2,0
1,0,1,0,156.5,67,26.61,61.29,10,17.37,14.19,7,6.39,9.9,2,2.67,2,0
1,0,1,0,236.5,84,40.21,70.8,10,20.06,22.86,12,10.29,8.3,6,2.24,2,0
0,0,0,32,30.9,113,5.25,56.1,11,15.9,23.08,10,10.39,8.6,7,2.32,1,0
0,0,1,0,140.4,112,23.87,56.13,6,15.9,20.79,16,9.36,7.9,1,2.13,0,0
1,0,1,0,40.4,105,6.87,51.72,8,14.65,14.51,9,6.53,9,2,2.43,2,0
0,0,1,0,244.1,99,41.5,74.07,11,20.99,20,13,9,7.2,2,1.94,0,0
0,0,1,0,209.6,94,35.63,57.93,11,16.41,23.99,9,10.8,12.4,4,3.35,0,0
1,0,1,0,158.8,75,27,79.44,9,22.51,27,8,12.15,7.6,7,2.05,1,0
0,0,1,0,228.7,102,38.88,50.61,10,14.34,22.35,10,10.06,11.8,4,3.19,1,0
0,0,1,0,165.2,109,28.08,51.18,10,14.5,20.5,7,9.23,9.9,4,2.67,0,0
1,0,1,0,177.1,120,30.11,65.43,12,18.54,18.38,9,8.27,12.7,5,3.43,3,0
2,0,1,0,88,81,14.96,43.77,11,12.4,23.77,9,10.7,9.8,2,2.65,2,0
1,0,1,0,167.8,119,28.53,42.6,12,12.07,19.07,13,8.58,7.3,4,1.97,2,0
0,0,0,24,140.2,102,23.83,51.03,11,14.46,14.37,10,6.47,14,1,3.78,1,0
1,0,1,0,187.8,95,31.93,44.76,14,12.68,20.14,11,9.06,11,4,2.97,2,0
1,0,1,0,160.3,110,27.25,15.96,9,4.52,13.07,12,5.88,10.5,4,2.84,0,0
0,0,1,0,200.4,87,34.07,92.76,11,26.28,15.21,12,6.84,10,2,2.7,1,0
1,0,0,27,182.1,91,30.96,50.91,10,14.42,16.47,9,7.41,10.6,5,2.86,2,0
2,0,1,0,219.9,80,37.38,42.99,12,12.18,13.06,7,5.88,11.7,7,3.16,1,0
2,0,0,26,193.4,91,32.88,59.49,9,16.86,25.72,9,11.57,9.5,5,2.57,2,0
2,0,0,29,211.6,111,35.97,71.37,8,20.22,20.94,9,9.42,14,7,3.78,2,0
0,0,1,0,156.8,93,26.66,64.74,7,18.34,22.33,8,10.05,7.6,6,2.05,1,0
2,0,0,29,155.4,110,26.42,56.55,10,16.02,25.49,12,11.47,8,4,2.16,3,0
2,0,0,40,272.2,112,46.27,71.97,11,20.39,25.73,12,11.58,11.6,2,3.13,1,0
1,0,1,0,198.2,73,33.69,60.84,12,17.24,14.64,7,6.59,5.1,5,1.38,1,0
2,0,0,37,181.2,76,30.8,53.28,10,15.1,22.8,14,10.26,5,3,1.35,2,0
0,0,1,0,123.7,138,21.03,74.55,11,21.12,26.96,8,12.13,13.3,4,3.59,0,0
0,0,1,0,147.1,91,25.01,57.12,11,16.18,19.52,12,8.78,12.2,3,3.29,0,0
